TIMESTAMP;setFrequency; RESULTS;readOutput
2026-08-05 11:43:26.039890;2630000000.0; ;-2.53322e-07
2026-08-05 11:43:26.877350;2640000000.0; ;-4.00471e-07
2026-08-05 11:43:27.718664;2650000000.0; ;-4.88017e-07
2026-08-05 11:43:28.555661;2660000000.0; ;-4.11646e-07
2026-08-05 11:43:29.379978;2670000000.0; ;-2.16813e-06
2026-08-05 11:43:30.220617;2680000000.0; ;-1.03564e-06
2026-08-05 11:43:31.067060;2690000000.0; ;-3.0175e-07
2026-08-05 11:43:31.905628;2700000000.0; ;-3.03613e-07
2026-08-05 11:43:32.737188;2710000000.0; ;-5.28995e-07
2026-08-05 11:43:33.567000;2720000000.0; ;-2.25754e-06
2026-08-05 11:43:34.413858;2730000000.0; ;-7.41336e-07
2026-08-05 11:43:35.253324;2740000000.0; ;-1.546e-07
2026-08-05 11:43:36.090957;2750000000.0; ;-8.19568e-08
2026-08-05 11:43:36.950702;2760000000.0; ;6.70557e-08
2026-08-05 11:43:37.777895;2770000000.0; ;-3.78119e-07
2026-08-05 11:43:38.610165;2780000000.0; ;-2.25381e-07
2026-08-05 11:43:39.436382;2790000000.0; ;-2.60771e-08
2026-08-05 11:43:40.262063;2800000000.0; ;-2.98025e-08
2026-08-05 11:43:41.112358;2810000000.0; ;-1.37837e-07
2026-08-05 11:43:41.945392;2820000000.0; ;-1.4715e-07
2026-08-05 11:43:42.786108;2830000000.0; ;-9.12701e-08
2026-08-05 11:43:43.620402;2840000000.0; ;-1.1921e-07
2026-08-05 11:43:44.451084;2850000000.0; ;-2.81261e-07
2026-08-05 11:43:45.285549;2860000000.0; ;-3.33415e-07
2026-08-05 11:43:46.136930;2870000000.0; ;-1.35974e-07
2026-08-05 11:43:46.986696;2880000000.0; ;-2.1048e-07
2026-08-05 11:43:47.834152;2890000000.0; ;-3.53905e-08
2026-08-05 11:43:48.681029;2900000000.0; ;7.45064e-09
2026-08-05 11:43:49.516700;2910000000.0; ;-5.58796e-09
2026-08-05 11:43:50.367593;2920000000.0; ;-7.63689e-08
2026-08-05 11:43:51.188737;2930000000.0; ;-1.60188e-07
2026-08-05 11:43:52.014760;2940000000.0; ;-3.05476e-07
2026-08-05 11:43:52.851303;2950000000.0; ;-4.67526e-07
2026-08-05 11:43:53.690446;2960000000.0; ;-5.12231e-07
2026-08-05 11:43:54.540714;2970000000.0; ;-4.39586e-07
2026-08-05 11:43:55.377869;2980000000.0; ;-4.32135e-07
2026-08-05 11:43:56.216032;2990000000.0; ;-6.07226e-07
2026-08-05 11:43:57.053786;3000000000.0; ;-4.5635e-07
2026-08-05 11:43:57.890272;3010000000.0; ;-3.0175e-07
2026-08-05 11:43:58.723208;3020000000.0; ;-1.30386e-07
2026-08-05 11:43:59.561028;3030000000.0; ;-4.8429e-08
2026-08-05 11:44:00.383428;3040000000.0; ;-4.28411e-08
2026-08-05 11:44:01.226926;3050000000.0; ;-4.43311e-07
2026-08-05 11:44:02.071335;3060000000.0; ;-7.63688e-07
2026-08-05 11:44:02.902890;3070000000.0; ;-2.23518e-07
2026-08-05 11:44:03.744116;3080000000.0; ;-1.86265e-07
2026-08-05 11:44:04.589333;3090000000.0; ;-1.2871e-06
2026-08-05 11:44:05.434635;3100000000.0; ;-4.45174e-07
2026-08-05 11:44:06.264617;3110000000.0; ;-5.21543e-08
2026-08-05 11:44:07.106973;3120000000.0; ;-6.5193e-08
2026-08-05 11:44:07.943356;3130000000.0; ;-9.12701e-08
2026-08-05 11:44:08.777374;3140000000.0; ;0.0
2026-08-05 11:44:09.596664;3150000000.0; ;-7.63689e-08
2026-08-05 11:44:10.433572;3160000000.0; ;1.13622e-07
2026-08-05 11:44:11.273380;3170000000.0; ;-8.00942e-08
2026-08-05 11:44:12.123581;3180000000.0; ;-4.8429e-08
2026-08-05 11:44:12.952391;3190000000.0; ;1.86266e-08
2026-08-05 11:44:13.812115;3200000000.0; ;4.65664e-08
2026-08-05 11:44:14.650535;3210000000.0; ;4.8429e-08
2026-08-05 11:44:15.493892;3220000000.0; ;2.60771e-08
