TIMESTAMP;setFrequency; RESULTS;readOutput
2026-08-05 12:26:55.759200;2630000000.0; ;-4.13509e-07
2026-08-05 12:26:56.614096;2631000000.0; ;-4.71251e-07
2026-08-05 12:26:57.456609;2632000000.0; ;-4.69388e-07
2026-08-05 12:26:58.312299;2633000000.0; ;-3.09201e-07
2026-08-05 12:26:59.142264;2634000000.0; ;-4.11646e-07
2026-08-05 12:26:59.963613;2635000000.0; ;-4.30273e-07
2026-08-05 12:27:00.796902;2636000000.0; ;-4.67526e-07
2026-08-05 12:27:01.633408;2637000000.0; ;-4.76841e-07
2026-08-05 12:27:02.456117;2638000000.0; ;-4.638e-07
2026-08-05 12:27:03.305647;2639000000.0; ;-4.5635e-07
2026-08-05 12:27:04.151918;2640000000.0; ;-4.15372e-07
2026-08-05 12:27:04.974739;2641000000.0; ;-5.10368e-07
2026-08-05 12:27:05.813937;2642000000.0; ;-3.91157e-07
2026-08-05 12:27:06.655066;2643000000.0; ;-4.48899e-07
2026-08-05 12:27:07.508463;2644000000.0; ;-4.74976e-07
2026-08-05 12:27:08.351073;2645000000.0; ;-4.43311e-07
2026-08-05 12:27:09.204172;2646000000.0; ;-4.41449e-07
2026-08-05 12:27:10.043008;2647000000.0; ;-5.0478e-07
2026-08-05 12:27:10.899023;2648000000.0; ;-4.41449e-07
2026-08-05 12:27:11.726278;2649000000.0; ;-4.35861e-07
2026-08-05 12:27:12.556448;2650000000.0; ;-4.80566e-07
2026-08-05 12:27:13.387104;2651000000.0; ;-5.40171e-07
2026-08-05 12:27:14.223204;2652000000.0; ;-4.88017e-07
2026-08-05 12:27:15.068401;2653000000.0; ;-5.12231e-07
2026-08-05 12:27:15.919167;2654000000.0; ;-5.6066e-07
2026-08-05 12:27:16.759851;2655000000.0; ;-5.75561e-07
2026-08-05 12:27:17.600618;2656000000.0; ;-5.28995e-07
2026-08-05 12:27:18.444862;2657000000.0; ;-4.69388e-07
2026-08-05 12:27:19.278419;2658000000.0; ;-6.14677e-07
2026-08-05 12:27:20.119338;2659000000.0; ;-4.2096e-07
2026-08-05 12:27:20.961733;2660000000.0; ;-5.6066e-07
2026-08-05 12:27:21.811883;2661000000.0; ;-4.82429e-07
2026-08-05 12:27:22.641907;2662000000.0; ;-5.9605e-07
2026-08-05 12:27:23.481125;2663000000.0; ;-5.23407e-07
2026-08-05 12:27:24.318607;2664000000.0; ;-5.81149e-07
2026-08-05 12:27:25.151860;2665000000.0; ;-6.51929e-07
2026-08-05 12:27:25.996281;2666000000.0; ;-6.01638e-07
2026-08-05 12:27:26.823354;2667000000.0; ;-5.64385e-07
2026-08-05 12:27:27.655208;2668000000.0; ;-5.6066e-07
2026-08-05 12:27:28.488729;2669000000.0; ;-5.9605e-07
2026-08-05 12:27:29.318702;2670000000.0; ;-4.73114e-07
2026-08-05 12:27:30.169409;2671000000.0; ;-5.2527e-07
2026-08-05 12:27:31.019709;2672000000.0; ;-5.23407e-07
2026-08-05 12:27:31.868719;2673000000.0; ;-4.69388e-07
2026-08-05 12:27:32.718842;2674000000.0; ;-4.91742e-07
2026-08-05 12:27:33.552082;2675000000.0; ;-5.14094e-07
2026-08-05 12:27:34.385130;2676000000.0; ;-4.26548e-07
2026-08-05 12:27:35.212974;2677000000.0; ;-4.58213e-07
2026-08-05 12:27:36.050434;2678000000.0; ;-5.01055e-07
2026-08-05 12:27:36.885914;2679000000.0; ;-4.80566e-07
2026-08-05 12:27:37.724684;2680000000.0; ;-4.61938e-07
2026-08-05 12:27:38.561165;2681000000.0; ;-5.42033e-07
2026-08-05 12:27:39.397337;2682000000.0; ;-5.69973e-07
2026-08-05 12:27:40.236037;2683000000.0; ;-6.53792e-07
2026-08-05 12:27:41.079218;2684000000.0; ;-7.33886e-07
2026-08-05 12:27:41.919352;2685000000.0; ;-6.66831e-07
2026-08-05 12:27:42.758751;2686000000.0; ;-6.79869e-07
2026-08-05 12:27:43.607311;2687000000.0; ;-5.36445e-07
2026-08-05 12:27:44.457667;2688000000.0; ;-6.14677e-07
2026-08-05 12:27:45.296884;2689000000.0; ;-5.77424e-07
2026-08-05 12:27:46.142459;2690000000.0; ;-4.99193e-07
2026-08-05 12:27:46.985334;2691000000.0; ;-4.78703e-07
2026-08-05 12:27:47.813773;2692000000.0; ;-5.27132e-07
2026-08-05 12:27:48.655299;2693000000.0; ;-5.30858e-07
2026-08-05 12:27:49.505719;2694000000.0; ;-5.49484e-07
2026-08-05 12:27:50.338585;2695000000.0; ;-6.74281e-07
2026-08-05 12:27:51.182612;2696000000.0; ;-5.75561e-07
2026-08-05 12:27:52.019820;2697000000.0; ;-6.29578e-07
2026-08-05 12:27:52.851776;2698000000.0; ;-5.84874e-07
2026-08-05 12:27:53.693834;2699000000.0; ;-5.66248e-07
2026-08-05 12:27:54.526947;2700000000.0; ;-6.8732e-07
2026-08-05 12:27:55.370488;2701000000.0; ;-6.38891e-07
2026-08-05 12:27:56.203401;2702000000.0; ;-7.54375e-07
2026-08-05 12:27:57.036808;2703000000.0; ;-7.78589e-07
2026-08-05 12:27:57.879060;2704000000.0; ;-1.01701e-06
2026-08-05 12:27:58.713442;2705000000.0; ;-1.24798e-06
2026-08-05 12:27:59.549086;2706000000.0; ;-1.43611e-06
2026-08-05 12:28:00.399959;2707000000.0; ;-1.77511e-06
2026-08-05 12:28:01.238207;2708000000.0; ;-2.37489e-06
2026-08-05 12:28:02.096497;2709000000.0; ;-2.99329e-06
