TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-08-05 12:50:48.744364;50; ;-4.47037e-08
2026-08-05 12:50:49.409682;100; ;5.77422e-08
2026-08-05 12:50:50.051887;150; ;-7.45064e-09
2026-08-05 12:50:50.708032;200; ;-4.09784e-08
2026-08-05 12:50:51.368127;250; ;-1.56463e-07
2026-08-05 12:50:52.015814;300; ;-1.63914e-07
2026-08-05 12:50:52.663683;350; ;-1.24798e-07
2026-08-05 12:50:53.316621;400; ;-2.98025e-07
2026-08-05 12:50:53.975901;450; ;-2.64497e-07
2026-08-05 12:50:54.638907;500; ;-3.74393e-07
2026-08-05 12:50:55.296237;550; ;-3.14789e-07
2026-08-05 12:50:55.941553;600; ;-4.2841e-07
2026-08-05 12:50:56.597689;650; ;-3.81844e-07
2026-08-05 12:50:57.254302;700; ;-3.12926e-07
2026-08-05 12:50:57.897514;750; ;-4.22822e-07
2026-08-05 12:50:58.546601;800; ;-3.81844e-07
2026-08-05 12:50:59.203408;850; ;-4.638e-07
2026-08-05 12:50:59.853154;900; ;-5.14094e-07
2026-08-05 12:51:00.504490;950; ;-4.32135e-07
2026-08-05 12:51:01.155661;1000; ;-4.74976e-07
2026-08-05 12:51:01.824531;1050; ;-5.6811e-07
2026-08-05 12:51:02.469671;1100; ;-5.6066e-07
2026-08-05 12:51:03.135616;1150; ;-5.9605e-07
2026-08-05 12:51:03.787060;1200; ;-5.99775e-07
2026-08-05 12:51:04.446849;1250; ;-6.44479e-07
2026-08-05 12:51:05.101162;1300; ;-6.3144e-07
2026-08-05 12:51:05.752197;1350; ;-6.57517e-07
2026-08-05 12:51:06.407899;1400; ;-7.13397e-07
2026-08-05 12:51:07.059323;1450; ;-7.41336e-07
2026-08-05 12:51:07.716239;1500; ;-7.04084e-07
2026-08-05 12:51:08.365655;1550; ;-8.12117e-07
2026-08-05 12:51:09.009819;1600; ;-7.54375e-07
2026-08-05 12:51:09.670066;1650; ;-8.66134e-07
2026-08-05 12:51:10.320541;1700; ;-8.25155e-07
2026-08-05 12:51:10.971892;1750; ;-7.89765e-07
2026-08-05 12:51:11.624597;1800; ;-7.95353e-07
2026-08-05 12:51:12.280599;1850; ;-7.9349e-07
2026-08-05 12:51:12.950454;1900; ;-7.80452e-07
2026-08-05 12:51:13.601462;1950; ;-8.06529e-07
2026-08-05 12:51:14.248999;2000; ;-8.5682e-07
2026-08-05 12:51:14.906955;2050; ;-9.08974e-07
2026-08-05 12:51:15.556728;2100; ;-8.82897e-07
2026-08-05 12:51:16.212802;2150; ;-9.18288e-07
2026-08-05 12:51:16.854983;2200; ;-9.22013e-07
2026-08-05 12:51:17.503692;2250; ;-8.7731e-07
2026-08-05 12:51:18.152631;2300; ;-9.14562e-07
2026-08-05 12:51:18.799797;2350; ;-9.35052e-07
2026-08-05 12:51:19.462139;2400; ;-9.6672e-07
2026-08-05 12:51:20.111545;2450; ;-9.57407e-07
2026-08-05 12:51:20.763273;2500; ;-8.90348e-07
2026-08-05 12:51:21.416240;2550; ;-8.5682e-07
2026-08-05 12:51:22.067690;2600; ;-9.35052e-07
2026-08-05 12:51:22.722180;2650; ;-7.9349e-07
2026-08-05 12:51:23.369922;2700; ;-8.7731e-07
2026-08-05 12:51:24.028314;2750; ;-8.66134e-07
2026-08-05 12:51:24.679229;2800; ;-8.73584e-07
2026-08-05 12:51:25.338969;2850; ;-7.97216e-07
2026-08-05 12:51:25.992605;2900; ;-7.84177e-07
2026-08-05 12:51:26.638962;2950; ;-8.34469e-07
2026-08-05 12:51:27.289891;3000; ;-8.28881e-07
2026-08-05 12:51:27.942476;3050; ;-7.9349e-07
2026-08-05 12:51:28.597669;3100; ;-7.52512e-07
2026-08-05 12:51:29.249264;3150; ;-7.07809e-07
2026-08-05 12:51:29.916163;3200; ;-6.50067e-07
2026-08-05 12:51:30.580309;3250; ;-5.36445e-07
2026-08-05 12:51:31.231989;3300; ;-5.77424e-07
2026-08-05 12:51:31.889586;3350; ;-6.33303e-07
2026-08-05 12:51:32.550696;3400; ;-5.97913e-07
2026-08-05 12:51:33.196559;3450; ;-5.34583e-07
2026-08-05 12:51:33.861304;3500; ;-6.35166e-07
2026-08-05 12:51:34.522787;3550; ;-6.03501e-07
2026-08-05 12:51:35.173113;3600; ;-5.36445e-07
2026-08-05 12:51:35.838126;3650; ;-5.02918e-07
2026-08-05 12:51:36.494295;3700; ;-4.78703e-07
2026-08-05 12:51:37.149599;3750; ;-5.49484e-07
2026-08-05 12:51:37.819691;3800; ;-5.66248e-07
2026-08-05 12:51:38.463870;3850; ;-5.45759e-07
2026-08-05 12:51:39.122532;3900; ;-4.99193e-07
2026-08-05 12:51:39.782070;3950; ;-4.65663e-07
2026-08-05 12:51:40.439937;4000; ;-5.12231e-07
2026-08-05 12:51:41.093266;4050; ;-4.33998e-07
2026-08-05 12:51:41.741353;4100; ;-4.74976e-07
2026-08-05 12:51:42.398376;4150; ;-4.73114e-07
2026-08-05 12:51:43.055329;4200; ;-5.12231e-07
2026-08-05 12:51:43.718167;4250; ;-5.06643e-07
2026-08-05 12:51:44.393789;4300; ;-4.82429e-07
2026-08-05 12:51:45.044682;4350; ;-5.01055e-07
2026-08-05 12:51:45.696496;4400; ;-4.91742e-07
2026-08-05 12:51:46.351036;4450; ;-5.01055e-07
2026-08-05 12:51:47.023013;4500; ;-5.02918e-07
2026-08-05 12:51:47.693739;4550; ;-4.73114e-07
2026-08-05 12:51:48.338486;4600; ;-4.32135e-07
2026-08-05 12:51:48.997336;4650; ;-4.78703e-07
2026-08-05 12:51:49.664597;4700; ;-5.75561e-07
2026-08-05 12:51:50.312201;4750; ;-5.71836e-07
2026-08-05 12:51:50.972957;4800; ;-5.71836e-07
2026-08-05 12:51:51.642665;4850; ;-5.55072e-07
2026-08-05 12:51:52.289994;4900; ;-5.47621e-07
2026-08-05 12:51:52.942294;4950; ;-5.36445e-07
2026-08-05 12:51:53.610466;5000; ;-5.75561e-07
2026-08-05 12:51:54.270015;5050; ;-5.81149e-07
2026-08-05 12:51:54.915815;5100; ;-5.36445e-07
2026-08-05 12:51:55.573754;5150; ;-5.3272e-07
2026-08-05 12:51:56.256463;5200; ;-4.95467e-07
