TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-08-05 12:48:00.009960;5350; ;-1.57394e-06
2026-08-05 12:48:00.703303;5400; ;-1.67639e-06
2026-08-05 12:48:01.426499;5450; ;-1.74531e-06
2026-08-05 12:48:02.119545;5500; ;-1.69129e-06
2026-08-05 12:48:02.824567;5550; ;-1.8701e-06
2026-08-05 12:48:03.531568;5600; ;-1.86824e-06
2026-08-05 12:48:04.265511;5650; ;-1.8105e-06
2026-08-05 12:48:04.948605;5700; ;-1.76952e-06
2026-08-05 12:48:05.638950;5750; ;-1.69874e-06
2026-08-05 12:48:06.325074;5800; ;-1.64659e-06
2026-08-05 12:48:07.130204;5850; ;-1.60561e-06
2026-08-05 12:48:07.826617;5900; ;-1.52179e-06
2026-08-05 12:48:08.542179;5950; ;-1.49199e-06
2026-08-05 12:48:09.230677;6000; ;-1.47336e-06
2026-08-05 12:48:09.933250;6050; ;-1.37836e-06
2026-08-05 12:48:10.656601;6100; ;-1.46777e-06
2026-08-05 12:48:11.338301;6150; ;-1.46591e-06
2026-08-05 12:48:12.025232;6200; ;-1.45473e-06
2026-08-05 12:48:12.724850;6250; ;-1.36346e-06
2026-08-05 12:48:13.422791;6300; ;-1.49385e-06
2026-08-05 12:48:14.128019;6350; ;-1.49012e-06
2026-08-05 12:48:14.824456;6400; ;-1.46032e-06
2026-08-05 12:48:15.537000;6450; ;-1.46405e-06
2026-08-05 12:48:16.232839;6500; ;-1.69688e-06
2026-08-05 12:48:16.931328;6550; ;-1.59257e-06
2026-08-05 12:48:17.621293;6600; ;-1.546e-06
2026-08-05 12:48:18.326924;6650; ;-1.60561e-06
2026-08-05 12:48:19.007719;6700; ;-1.63541e-06
2026-08-05 12:48:19.649965;6750; ;-1.56649e-06
2026-08-05 12:48:20.323454;6800; ;-1.63914e-06
2026-08-05 12:48:20.984536;6850; ;-1.78628e-06
2026-08-05 12:48:21.633434;6900; ;-1.86824e-06
2026-08-05 12:48:22.293855;6950; ;-1.97442e-06
2026-08-05 12:48:22.970712;7000; ;-1.95393e-06
2026-08-05 12:48:23.641621;7050; ;-1.90549e-06
2026-08-05 12:48:24.317878;7100; ;-1.93903e-06
2026-08-05 12:48:24.985421;7150; ;-1.90177e-06
2026-08-05 12:48:25.641148;7200; ;-1.96324e-06
2026-08-05 12:48:26.312801;7250; ;-1.98187e-06
2026-08-05 12:48:26.960441;7300; ;-1.90736e-06
