TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-08-05 13:36:45.425432;50; ;-3.16652e-08
2026-08-05 13:36:46.582054;250; ;-6.33304e-08
2026-08-05 13:36:47.741323;450; ;-1.15484e-07
2026-08-05 13:36:48.882343;650; ;-3.35278e-08
2026-08-05 13:36:50.035941;850; ;1.35974e-07
2026-08-05 13:36:51.188146;1050; ;3.33415e-07
2026-08-05 13:36:52.343624;1250; ;4.07921e-07
2026-08-05 13:36:53.502438;1450; ;3.11064e-07
2026-08-05 13:36:54.650040;1650; ;1.78815e-07
2026-08-05 13:36:55.812139;1850; ;5.21543e-08
2026-08-05 13:36:56.967466;2050; ;-2.98025e-08
2026-08-05 13:36:58.108757;2250; ;-6.14677e-08
2026-08-05 13:36:59.269142;2450; ;-5.40169e-08
2026-08-05 13:37:00.418594;2650; ;-1.67639e-08
2026-08-05 13:37:01.569443;2850; ;-4.47037e-08
2026-08-05 13:37:02.729100;3050; ;-6.89183e-08
2026-08-05 13:37:03.891211;3250; ;-1.02446e-07
2026-08-05 13:37:05.035557;3450; ;-8.75448e-08
2026-08-05 13:37:06.195904;3650; ;-9.6858e-08
2026-08-05 13:37:07.344552;3850; ;-1.00583e-07
2026-08-05 13:37:08.501919;4050; ;-9.87206e-08
2026-08-05 13:37:09.655265;4250; ;-8.00942e-08
2026-08-05 13:37:10.810008;4450; ;-5.40169e-08
2026-08-05 13:37:11.964205;4650; ;-8.19568e-08
