# Version 1.00
#
freq[Hz];db:Trc2_S21;ang:Trc2_S21;
5.000000000000000E+09;-8.006568737124630E+01;-1.492787410113678E+02;
5.007500000000000E+09;-7.984201440141453E+01;3.256045363310654E+01;
5.015000000000000E+09;-8.033208547608331E+01;-1.391824044840112E+02;
5.022500000000000E+09;-7.979731825934289E+01;5.011952709523667E+01;
5.030000000000000E+09;-7.982203032274469E+01;-1.248029252640700E+02;
5.037500000000000E+09;-7.996662444380978E+01;6.441149877325859E+01;
5.045000000000000E+09;-7.988913364352946E+01;-1.128362474649834E+02;
5.052500000000000E+09;-7.957720350877916E+01;7.157109426250386E+01;
5.060000000000000E+09;-7.967437742326437E+01;-1.013655173102684E+02;
5.067500000000000E+09;-8.049873269692270E+01;8.359791857436699E+01;
5.075000000000000E+09;-8.008626975771253E+01;-8.664194753147947E+01;
5.082500000000000E+09;-7.992799499244401E+01;9.811943742032700E+01;
5.090000000000000E+09;-8.043412371738333E+01;-7.491188421754906E+01;
5.097500000000000E+09;-8.115153633936822E+01;1.106075480426396E+02;
5.105000000000000E+09;-8.059079732803357E+01;-6.163521392685087E+01;
5.112500000000000E+09;-7.985818812759832E+01;1.233973348723510E+02;
5.120000000000000E+09;-8.044203703943299E+01;-5.110526834109078E+01;
5.127500000000000E+09;-7.999564302087255E+01;1.309797217075114E+02;
5.135000000000000E+09;-8.043384348800488E+01;-4.198967938114929E+01;
5.142500000000000E+09;-8.034605852526319E+01;1.458432691785945E+02;
5.150000000000000E+09;-8.075871253812014E+01;-2.983296160121285E+01;
5.157500000000000E+09;-8.126398995939374E+01;1.604206098331142E+02;
5.165000000000000E+09;-8.065346988887570E+01;-1.531453373780895E+01;
5.172500000000000E+09;-8.072291594272198E+01;1.752113861493681E+02;
5.180000000000000E+09;-8.048947517807433E+01;-1.341245518127294E+00;
5.187500000000000E+09;-8.093849935276356E+01;-1.765975663544266E+02;
5.195000000000000E+09;-8.083114656064674E+01;9.157745724751633E+00;
5.202500000000000E+09;-8.092600705139478E+01;-1.698140670894043E+02;
5.210000000000000E+09;-8.030448184806406E+01;1.842498897257412E+01;
5.217500000000000E+09;-8.101657547764609E+01;-1.564554720855079E+02;
5.225000000000000E+09;-8.085356190575180E+01;3.128959244767492E+01;
5.232500000000000E+09;-8.152720500508400E+01;-1.471638007420393E+02;
5.240000000000000E+09;-8.053504459762991E+01;4.100616222605523E+01;
5.247500000000000E+09;-8.053124256992101E+01;-1.354304721492163E+02;
5.255000000000000E+09;-8.080164311925550E+01;5.497968163454331E+01;
5.262500000000000E+09;-8.137958798852416E+01;-1.216729565487202E+02;
5.270000000000000E+09;-8.093934330567930E+01;6.699379821301704E+01;
5.277500000000000E+09;-8.114440922345992E+01;-1.073408321547848E+02;
5.285000000000000E+09;-8.154889439449607E+01;7.501267724795569E+01;
5.292500000000000E+09;-8.193160546609505E+01;-9.287873082879577E+01;
5.300000000000000E+09;-8.146275936208468E+01;8.725716769422613E+01;
5.307500000000000E+09;-8.081385356936514E+01;-8.372989230114653E+01;
5.315000000000000E+09;-8.125153974822324E+01;1.033930408332818E+02;
5.322500000000000E+09;-8.130016462412650E+01;-6.820773501647784E+01;
5.330000000000000E+09;-8.082358979098461E+01;1.133913619519215E+02;
5.337500000000000E+09;-8.106346966398962E+01;-6.262792306161435E+01;
5.345000000000000E+09;-8.134357602781806E+01;1.248578564044344E+02;
5.352500000000000E+09;-8.124404609858115E+01;-4.789937536133187E+01;
5.360000000000000E+09;-8.095494828312908E+01;1.383182864285336E+02;
5.367500000000000E+09;-8.131160187254905E+01;-3.827128729633290E+01;
5.375000000000000E+09;-8.129880000127541E+01;1.516350137917167E+02;
5.382500000000000E+09;-8.158871556837232E+01;-2.272141783487903E+01;
5.390000000000000E+09;-8.153507314140191E+01;1.594222904345792E+02;
5.397500000000000E+09;-8.193551965530219E+01;-1.170038359645313E+01;
5.405000000000000E+09;-8.133023424048625E+01;1.759149198898645E+02;
5.412500000000000E+09;-8.091393492022020E+01;-3.195459976308101E+00;
5.420000000000000E+09;-8.076713448202489E+01;-1.732874658954875E+02;
5.427500000000000E+09;-8.079280635126347E+01;1.237318253107746E+01;
5.435000000000000E+09;-8.173111147176911E+01;-1.673788024642093E+02;
5.442500000000000E+09;-8.083489758385453E+01;2.022263818421787E+01;
5.450000000000000E+09;-8.080376654653983E+01;-1.560141637386141E+02;
5.457500000000000E+09;-8.101925219591088E+01;3.567367101230187E+01;
5.465000000000000E+09;-8.091305221795197E+01;-1.467387704637334E+02;
5.472500000000000E+09;-8.131632024316556E+01;4.220029124173167E+01;
5.480000000000000E+09;-8.087689881373699E+01;-1.289938303167263E+02;
5.487500000000000E+09;-8.127758288780566E+01;4.916327824648484E+01;
5.495000000000000E+09;-8.066488724245546E+01;-1.200827987849148E+02;
5.502500000000000E+09;-8.100882606967173E+01;6.530078113205900E+01;
5.510000000000000E+09;-8.088056172180404E+01;-1.202929742273831E+02;
5.517500000000000E+09;-8.136355652649713E+01;7.019053834569137E+01;
5.525000000000000E+09;-8.196703343542811E+01;-1.087572399260448E+02;
5.532500000000000E+09;-8.148388699324778E+01;8.010715709204624E+01;
5.540000000000000E+09;-8.151313286419439E+01;-9.689046406483487E+01;
5.547500000000000E+09;-8.298611532803831E+01;7.667831568135668E+01;
5.555000000000000E+09;-8.341569233507521E+01;-9.493293112575054E+01;
5.562500000000000E+09;-8.234623838925275E+01;7.545317138844612E+01;
5.570000000000000E+09;-8.444304917029471E+01;-1.043822818525156E+02;
5.577500000000000E+09;-8.535709854631108E+01;6.532493463135691E+01;
5.585000000000000E+09;-8.615874334054223E+01;-1.399827076307202E+02;
5.592500000000000E+09;-8.143639547822593E+01;1.547352918419661E+01;
5.600000000000000E+09;-7.195274638169272E+01;1.484513186751089E+02;
5.607500000000000E+09;-7.102844606120010E+01;-1.321356001793422E+02;
5.615000000000000E+09;-7.547330322793343E+01;2.647863356152185E+01;
5.622500000000000E+09;-7.736362257280595E+01;-1.549560883765398E+02;
5.630000000000000E+09;-7.850646153640817E+01;1.952052483822962E+01;
5.637500000000000E+09;-7.943350894607464E+01;-1.561004799176015E+02;
5.645000000000000E+09;-7.922227962009711E+01;3.084436419962266E+01;
5.652500000000000E+09;-7.974056723673493E+01;-1.498495917923112E+02;
5.660000000000000E+09;-7.994405600050020E+01;3.683319671260683E+01;
5.667500000000000E+09;-7.993098426882526E+01;-1.384150116941282E+02;
5.675000000000000E+09;-8.025544602487693E+01;4.857827310998753E+01;
5.682500000000000E+09;-8.020059431839735E+01;-1.285130481624006E+02;
5.690000000000000E+09;-7.998778115540131E+01;6.138968719592776E+01;
5.697500000000000E+09;-8.010945171057716E+01;-1.129415315359190E+02;
5.705000000000000E+09;-8.025299019289348E+01;7.452765760171837E+01;
5.712500000000000E+09;-7.993294350332624E+01;-1.015521764761923E+02;
5.720000000000000E+09;-8.043689261067378E+01;7.873341506121524E+01;
5.727500000000000E+09;-7.973509051036295E+01;-9.642695566520507E+01;
5.735000000000000E+09;-7.991654724847143E+01;9.226157550483676E+01;
5.742500000000000E+09;-8.028476273897093E+01;-8.353517122024546E+01;
5.750000000000000E+09;-8.008317254983285E+01;1.081391163823793E+02;
5.757500000000000E+09;-8.031118457568830E+01;-7.132021304876618E+01;
5.765000000000000E+09;-7.990885483139789E+01;1.147063148789562E+02;
5.772500000000000E+09;-7.986487394376289E+01;-6.132961335711006E+01;
5.780000000000000E+09;-7.976269047808077E+01;1.292003156755716E+02;
5.787500000000000E+09;-8.015188003795026E+01;-4.434996980896377E+01;
5.795000000000000E+09;-8.020533994292485E+01;1.395677593452608E+02;
5.802500000000000E+09;-7.978587492841416E+01;-3.874933263320187E+01;
5.810000000000000E+09;-7.972131720554570E+01;1.499675240875746E+02;
5.817500000000000E+09;-8.001407651095505E+01;-2.460874867225753E+01;
5.825000000000000E+09;-7.998281904196325E+01;1.623999463293459E+02;
5.832500000000000E+09;-8.071426870279716E+01;-9.438557381648920E+00;
5.840000000000000E+09;-7.969570922181647E+01;1.769309509183303E+02;
5.847500000000000E+09;-7.959980938359637E+01;-3.287360491499808E+00;
5.855000000000000E+09;-8.061704802054253E+01;-1.752436488006545E+02;
5.862500000000000E+09;-7.984267503178573E+01;1.228201314506581E+01;
5.870000000000000E+09;-7.969618525085565E+01;-1.668135000562955E+02;
5.877500000000000E+09;-7.983839806825429E+01;2.663472908095216E+01;
5.885000000000000E+09;-7.969802450768535E+01;-1.536911598862368E+02;
5.892500000000000E+09;-8.027449940805910E+01;3.419524351454957E+01;
5.900000000000000E+09;-8.005306358423533E+01;-1.430068751145770E+02;
5.907500000000000E+09;-7.998857860907003E+01;4.401980868011758E+01;
5.915000000000000E+09;-7.987402409350010E+01;-1.342949726415941E+02;
5.922500000000000E+09;-7.992189718254173E+01;5.503397183377815E+01;
5.930000000000000E+09;-7.999805748350751E+01;-1.185862235184565E+02;
5.937500000000000E+09;-7.978281582245796E+01;6.493281440917021E+01;
5.945000000000000E+09;-7.922449026769516E+01;-1.078044258082788E+02;
5.952500000000000E+09;-7.958631506323650E+01;7.817910345471348E+01;
5.960000000000000E+09;-7.934974679530784E+01;-9.559728570037689E+01;
5.967500000000000E+09;-7.951132533614457E+01;8.763091251782683E+01;
