# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
5.675000000000000E+09;-8.057507623703465E+01;6.108433171550971E+01;
5.682500000000000E+09;-8.008363865405725E+01;-1.152532833059182E+02;
5.690000000000000E+09;-8.019770090622801E+01;6.787578673439596E+01;
5.697500000000000E+09;-7.990287015663272E+01;-1.092190919065349E+02;
5.705000000000000E+09;-8.070213829867525E+01;7.430256552934698E+01;
5.712500000000000E+09;-7.968155824957444E+01;-1.016642831290035E+02;
5.720000000000000E+09;-8.017027938179979E+01;8.243129004856365E+01;
5.727500000000000E+09;-8.009134664918435E+01;-9.092216928455659E+01;
5.735000000000000E+09;-8.006960595282125E+01;9.527609617664184E+01;
5.742500000000000E+09;-8.002341967602469E+01;-7.991341214488881E+01;
5.750000000000000E+09;-8.005911237237406E+01;1.070761730683657E+02;
5.757500000000000E+09;-8.038360681915151E+01;-7.142267624079308E+01;
5.765000000000000E+09;-8.012398666522094E+01;1.181817602846493E+02;
5.772500000000000E+09;-7.990468451767714E+01;-5.791602741759654E+01;
5.780000000000000E+09;-8.113622820425861E+01;1.253519838821778E+02;
5.787500000000000E+09;-8.020973433288445E+01;-4.444552038215745E+01;
5.795000000000000E+09;-8.010131175793285E+01;1.398386849686540E+02;
5.802500000000000E+09;-7.971401980984692E+01;-3.940684142228331E+01;
5.810000000000000E+09;-7.957699503910644E+01;1.454992596728950E+02;
5.817500000000000E+09;-7.934805964517173E+01;-2.121776218191771E+01;
5.825000000000000E+09;-8.060555672440722E+01;1.597744358472045E+02;
5.832500000000000E+09;-8.079329520703375E+01;-1.008631027923604E+01;
5.840000000000000E+09;-8.016518083862537E+01;1.756177095406390E+02;
5.847500000000000E+09;-7.974098794196325E+01;-2.089466590171375E-02;
5.855000000000000E+09;-8.008631258531739E+01;-1.749906831008860E+02;
5.862500000000000E+09;-7.976359167691146E+01;7.567550894622907E+00;
5.870000000000000E+09;-7.976328488648015E+01;-1.651299021884465E+02;
5.877500000000000E+09;-7.942681958609599E+01;2.045751093817347E+01;
5.885000000000000E+09;-8.010190285703936E+01;-1.516622163388970E+02;
5.892500000000000E+09;-8.002907411381457E+01;3.527194191173507E+01;
5.900000000000000E+09;-7.991385995001917E+01;-1.396865527330196E+02;
5.907500000000000E+09;-7.958698654289138E+01;4.534048778825849E+01;
5.915000000000000E+09;-7.928552899944047E+01;-1.292774293754505E+02;
5.922500000000000E+09;-8.015122071589884E+01;5.845317021528792E+01;
5.930000000000000E+09;-8.032559687312332E+01;-1.169660849651275E+02;
5.937500000000000E+09;-7.981891202859823E+01;6.699935684020963E+01;
5.945000000000000E+09;-7.955003599717728E+01;-1.076859848588990E+02;
5.952500000000000E+09;-7.943134449033192E+01;7.388735978545806E+01;
5.960000000000000E+09;-7.970532243805550E+01;-1.005243650498961E+02;
5.967500000000000E+09;-7.966040846785089E+01;8.982823970930389E+01;
5.975000000000000E+09;-7.985161222785980E+01;-8.885751274388106E+01;
