TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-08-05 13:25:01.229853;50; ;-5.58797e-07
2026-08-05 13:25:02.384415;250; ;-5.73698e-07
2026-08-05 13:25:03.547329;450; ;-5.69973e-07
2026-08-05 13:25:04.691613;650; ;-5.71836e-07
2026-08-05 13:25:05.856584;850; ;-6.16539e-07
2026-08-05 13:25:07.005873;1050; ;-6.3144e-07
2026-08-05 13:25:08.160800;1250; ;-6.50067e-07
2026-08-05 13:25:09.312920;1450; ;-5.71836e-07
2026-08-05 13:25:10.462547;1650; ;-4.65663e-07
2026-08-05 13:25:11.616368;1850; ;-3.20377e-07
2026-08-05 13:25:12.768043;2050; ;-2.47734e-07
2026-08-05 13:25:13.915203;2250; ;-2.44008e-07
2026-08-05 13:25:15.078287;2450; ;-3.05476e-07
2026-08-05 13:25:16.221993;2650; ;-3.81844e-07
2026-08-05 13:25:17.394759;2850; ;-4.52625e-07
2026-08-05 13:25:18.551037;3050; ;-5.43896e-07
2026-08-05 13:25:19.712338;3250; ;-5.86737e-07
2026-08-05 13:25:20.873950;3450; ;-6.07226e-07
2026-08-05 13:25:22.025794;3650; ;-6.53792e-07
2026-08-05 13:25:23.174340;3850; ;-6.48204e-07
2026-08-05 13:25:24.335649;4050; ;-6.76144e-07
2026-08-05 13:25:25.503233;4250; ;-7.02221e-07
2026-08-05 13:25:26.662507;4450; ;-6.63105e-07
2026-08-05 13:25:27.828193;4650; ;-6.81732e-07
2026-08-05 13:25:28.988688;4850; ;-6.8732e-07
2026-08-05 13:25:30.141651;5050; ;-6.89182e-07
2026-08-05 13:25:31.297361;5250; ;-6.76144e-07
2026-08-05 13:25:32.448168;5450; ;-6.2399e-07
2026-08-05 13:25:33.607510;5650; ;-6.40754e-07
2026-08-05 13:25:34.760509;5850; ;-6.40754e-07
2026-08-05 13:25:35.919520;6050; ;-6.48204e-07
