TIMESTAMP;setFrequency; RESULTS;readOutput
2026-08-05 13:21:10.082471;2630000000.0; ;-6.55655e-07
2026-08-05 13:21:10.915739;2631000000.0; ;-5.15956e-07
2026-08-05 13:21:11.756348;2632000000.0; ;-5.08506e-07
2026-08-05 13:21:12.582400;2633000000.0; ;-3.87432e-07
2026-08-05 13:21:13.425043;2634000000.0; ;-4.04196e-07
2026-08-05 13:21:14.267475;2635000000.0; ;-4.48899e-07
2026-08-05 13:21:15.102233;2636000000.0; ;-4.61938e-07
2026-08-05 13:21:15.936186;2637000000.0; ;-4.00471e-07
2026-08-05 13:21:16.766723;2638000000.0; ;-4.5635e-07
2026-08-05 13:21:17.625700;2639000000.0; ;-3.74393e-07
2026-08-05 13:21:18.443091;2640000000.0; ;-4.32135e-07
2026-08-05 13:21:19.280537;2641000000.0; ;-3.14789e-07
2026-08-05 13:21:20.116201;2642000000.0; ;-4.69388e-07
2026-08-05 13:21:20.957150;2643000000.0; ;-3.72531e-07
2026-08-05 13:21:21.801786;2644000000.0; ;-4.19097e-07
2026-08-05 13:21:22.652609;2645000000.0; ;-4.78703e-07
2026-08-05 13:21:23.492652;2646000000.0; ;-4.60075e-07
2026-08-05 13:21:24.324669;2647000000.0; ;-3.96745e-07
2026-08-05 13:21:25.160143;2648000000.0; ;-3.81844e-07
2026-08-05 13:21:25.996058;2649000000.0; ;-4.17234e-07
2026-08-05 13:21:26.833263;2650000000.0; ;-3.74393e-07
2026-08-05 13:21:27.667029;2651000000.0; ;-4.76841e-07
2026-08-05 13:21:28.510793;2652000000.0; ;-3.96745e-07
2026-08-05 13:21:29.359518;2653000000.0; ;-5.28995e-07
2026-08-05 13:21:30.199417;2654000000.0; ;-4.71251e-07
2026-08-05 13:21:31.060139;2655000000.0; ;-4.73114e-07
2026-08-05 13:21:31.902564;2656000000.0; ;-5.55072e-07
2026-08-05 13:21:32.739701;2657000000.0; ;-5.90462e-07
2026-08-05 13:21:33.582795;2658000000.0; ;-5.71836e-07
2026-08-05 13:21:34.421013;2659000000.0; ;-6.29578e-07
2026-08-05 13:21:35.258272;2660000000.0; ;-5.17819e-07
2026-08-05 13:21:36.107844;2661000000.0; ;-5.17819e-07
2026-08-05 13:21:36.943559;2662000000.0; ;-5.84874e-07
2026-08-05 13:21:37.787262;2663000000.0; ;-4.95467e-07
2026-08-05 13:21:38.626474;2664000000.0; ;-6.55655e-07
2026-08-05 13:21:39.472907;2665000000.0; ;-6.70556e-07
2026-08-05 13:21:40.305730;2666000000.0; ;-4.13509e-07
2026-08-05 13:21:41.158198;2667000000.0; ;-5.84874e-07
2026-08-05 13:21:41.999676;2668000000.0; ;-4.47037e-07
2026-08-05 13:21:42.861519;2669000000.0; ;-4.17234e-07
2026-08-05 13:21:43.691627;2670000000.0; ;-5.19682e-07
2026-08-05 13:21:44.525463;2671000000.0; ;-5.47621e-07
2026-08-05 13:21:45.357878;2672000000.0; ;-5.99775e-07
2026-08-05 13:21:46.192573;2673000000.0; ;-4.50762e-07
2026-08-05 13:21:47.050317;2674000000.0; ;-5.62522e-07
2026-08-05 13:21:47.881744;2675000000.0; ;-5.15956e-07
2026-08-05 13:21:48.726402;2676000000.0; ;-6.03501e-07
2026-08-05 13:21:49.578368;2677000000.0; ;-6.74281e-07
2026-08-05 13:21:50.421995;2678000000.0; ;-4.95467e-07
2026-08-05 13:21:51.280492;2679000000.0; ;-7.20847e-07
2026-08-05 13:21:52.100468;2680000000.0; ;-5.42033e-07
