TIMESTAMP;setFrequency; RESULTS;readOutput
2026-08-05 11:22:09.408755;2830000000.0; ;-2.3842e-07
2026-08-05 11:22:10.257269;2831000000.0; ;-2.71948e-07
2026-08-05 11:22:11.101414;2832000000.0; ;-2.70085e-07
2026-08-05 11:22:11.957394;2833000000.0; ;-1.93716e-07
2026-08-05 11:22:12.807866;2834000000.0; ;-2.45871e-07
2026-08-05 11:22:13.646208;2835000000.0; ;-3.33415e-07
2026-08-05 11:22:14.484667;2836000000.0; ;-2.3842e-07
2026-08-05 11:22:15.344024;2837000000.0; ;-3.09201e-07
2026-08-05 11:22:16.197665;2838000000.0; ;-2.27244e-07
2026-08-05 11:22:17.041355;2839000000.0; ;-1.89991e-07
2026-08-05 11:22:17.896095;2840000000.0; ;-4.13509e-07
2026-08-05 11:22:18.743916;2841000000.0; ;-4.74976e-07
2026-08-05 11:22:19.598141;2842000000.0; ;-4.33998e-07
2026-08-05 11:22:20.450532;2843000000.0; ;-5.66248e-07
2026-08-05 11:22:21.311133;2844000000.0; ;-4.17234e-07
2026-08-05 11:22:22.147362;2845000000.0; ;-5.34583e-07
2026-08-05 11:22:22.995453;2846000000.0; ;-5.9605e-07
2026-08-05 11:22:23.860032;2847000000.0; ;-7.39474e-07
2026-08-05 11:22:24.718047;2848000000.0; ;-7.32023e-07
2026-08-05 11:22:25.553704;2849000000.0; ;-6.78006e-07
2026-08-05 11:22:26.390496;2850000000.0; ;-6.57517e-07
2026-08-05 11:22:27.231027;2851000000.0; ;-8.38194e-07
2026-08-05 11:22:28.076421;2852000000.0; ;-7.61826e-07
2026-08-05 11:22:28.924527;2853000000.0; ;-8.60546e-07
2026-08-05 11:22:29.773597;2854000000.0; ;-9.5927e-07
2026-08-05 11:22:30.616273;2855000000.0; ;-1.18837e-06
2026-08-05 11:22:31.448152;2856000000.0; ;-1.30945e-06
2026-08-05 11:22:32.291341;2857000000.0; ;-1.35601e-06
2026-08-05 11:22:33.134548;2858000000.0; ;-1.63168e-06
2026-08-05 11:22:33.984911;2859000000.0; ;-2.03589e-06
2026-08-05 11:22:34.821032;2860000000.0; ;-2.3991e-06
2026-08-05 11:22:35.647886;2861000000.0; ;-3.12926e-06
2026-08-05 11:22:36.487531;2862000000.0; ;-3.90972e-06
2026-08-05 11:22:37.331392;2863000000.0; ;-5.02172e-06
2026-08-05 11:22:38.165177;2864000000.0; ;-6.46527e-06
2026-08-05 11:22:39.015236;2865000000.0; ;-8.32981e-06
2026-08-05 11:22:39.865402;2866000000.0; ;-1.02856e-05
2026-08-05 11:22:40.708023;2867000000.0; ;-1.18558e-05
2026-08-05 11:22:41.545575;2868000000.0; ;-1.25059e-05
2026-08-05 11:22:42.392429;2869000000.0; ;-1.24239e-05
2026-08-05 11:22:43.229348;2870000000.0; ;-1.25841e-05
2026-08-05 11:22:44.073792;2871000000.0; ;-1.26903e-05
2026-08-05 11:22:44.908027;2872000000.0; ;-1.17254e-05
2026-08-05 11:22:45.736641;2873000000.0; ;-1.00863e-05
2026-08-05 11:22:46.571362;2874000000.0; ;-8.04669e-06
2026-08-05 11:22:47.427674;2875000000.0; ;-6.23803e-06
2026-08-05 11:22:48.262356;2876000000.0; ;-4.97143e-06
2026-08-05 11:22:49.112293;2877000000.0; ;-3.86502e-06
2026-08-05 11:22:49.955120;2878000000.0; ;-3.17582e-06
2026-08-05 11:22:50.788240;2879000000.0; ;-2.63007e-06
2026-08-05 11:22:51.642446;2880000000.0; ;-2.21656e-06
2026-08-05 11:22:52.501513;2881000000.0; ;-1.78815e-06
2026-08-05 11:22:53.336537;2882000000.0; ;-1.4566e-06
2026-08-05 11:22:54.186446;2883000000.0; ;-1.30945e-06
2026-08-05 11:22:55.011546;2884000000.0; ;-1.08593e-06
2026-08-05 11:22:55.848037;2885000000.0; ;-8.62408e-07
2026-08-05 11:22:56.708558;2886000000.0; ;-8.08392e-07
2026-08-05 11:22:57.558875;2887000000.0; ;-7.9349e-07
2026-08-05 11:22:58.378339;2888000000.0; ;-6.98496e-07
2026-08-05 11:22:59.219583;2889000000.0; ;-6.53792e-07
2026-08-05 11:23:00.047662;2890000000.0; ;-5.71836e-07
2026-08-05 11:23:00.882183;2891000000.0; ;-5.28995e-07
2026-08-05 11:23:01.717927;2892000000.0; ;-4.99193e-07
2026-08-05 11:23:02.552993;2893000000.0; ;-5.21544e-07
2026-08-05 11:23:03.408413;2894000000.0; ;-4.45174e-07
2026-08-05 11:23:04.241546;2895000000.0; ;-2.98025e-07
2026-08-05 11:23:05.080242;2896000000.0; ;-2.3842e-07
2026-08-05 11:23:05.933823;2897000000.0; ;-1.28523e-07
2026-08-05 11:23:06.761836;2898000000.0; ;-3.05476e-07
2026-08-05 11:23:07.617970;2899000000.0; ;-2.42146e-07
2026-08-05 11:23:08.452874;2900000000.0; ;-8.38195e-08
2026-08-05 11:23:09.281757;2901000000.0; ;-1.97441e-07
2026-08-05 11:23:10.129241;2902000000.0; ;-1.60188e-07
2026-08-05 11:23:10.955885;2903000000.0; ;-1.37837e-07
2026-08-05 11:23:11.795132;2904000000.0; ;-6.14677e-08
2026-08-05 11:23:12.643248;2905000000.0; ;-1.15484e-07
2026-08-05 11:23:13.488785;2906000000.0; ;-1.43425e-07
